AccountName,gameId,isPositive,review,Polarity
Jak,294100,Recommended,"good music , when there is music .",1
REXPOWERCOLT,238460,Recommended,"the soundtrack is amazing , arguably the best soundtrack of any game i ve played .",1
DeathCap,253230,Recommended,you will get engrossed in the 80s miami atmosphere with the game s stellar soundtrack and spectacular art direction .,1
Ƥyrefeather,219740,Recommended,"one of the first things you can do is go up to a tv with a game playing on it , and when you get near it the background music changes to have a dog barking the theme song in a neat little remix .",0
sharktemplar,219740,Recommended,"instead , i found myself humming along to the hub music whenever i returned from a level .",1
Ravenna Runeborn,253230,Recommended,"you just cant really hate it , even if stamper s voice tells you have much you suck this hat typical game that knows , that its a game , so it won t take itself seriously i can absolutely recommend this game to everyone , the single and the co op are tons of fun .",0
Neppu Tennouboshi,4000,Recommended,"my obsession turns from something sad , into something very creepy in act 2 as breathing , laughing vinyl sounds are added , as well as the track being slightly distorted reversed sometimes .",0
Megurine Luka,219150,Recommended,"the game has a reference and easter eggs , which add a terrible atmosphere to the game .",1
Choppytehbear,294100,Recommended,perfect background music .,1
DoW.Phr0stY,4000,Recommended,"soundtrack is great and progression of the way the music plays throughout the game adds to the atmosphere of the game , definitely affecting how you feel within the game .",1
Addictive Behavior,294100,Recommended,several other thunder hit around the settlement providing a dramatic atmosphere for what s yet to come .,1
Dadang Sudadang,253230,Recommended,the soundtrack is just awesome .,1
shin,698780,Recommended,"get relaxed , obtain your favorite snack , some tea or coffee , put your feet up , and enjoy the playful atmosphere for a relaxing experience .",1
Krynka,698780,Recommended,"good music u can play with friends and story any way , worth to play .",1
Damyel,219150,Recommended,verdict : fantastic game with an even better soundtrack,1
Draconicrose,294100,Recommended,"where rimworld s audio shines is in the soundtrack which , even though it contains only a few songs , is stellar and evocative of the whole space western theme of the game .",1
Lil'MissProfanity,253230,Recommended,the music is beautiful .,1
Mittsies,4000,Recommended,"the sound effects are decent as well , nothing stands out too strong aside from the occasional alert sound of a colonist dying from an extreme infection from an improperly treated gunshot wound , or the sound of a party ending which both use the same exact alert sound , because apparently the developer has a twisted sense of humor .",0
Lord Henthorn,219740,Recommended,one more more thing i love about the game is the music the game has for each season and location .,1
sharktemplar,219740,Recommended,a lot of voice acting in the game fails this miserably .,-1
Blank,698780,Recommended,the sounds are what make the experience that much creepier .,1
bidoofus,219150,Recommended,"with that being said , my two favorite aspects about the game are its music and sound effects , which to me are what give the game its charm .",1
Johnnytwobyfour,413150,Recommended,the soundtrack is godly .,1
lone,238460,Recommended,the music for the game is also extremely cute and fits whatever mood that is being conveyed at any event .,1
Indie,4000,Recommended,"let s jump into the games music : i love it pretty much like harvest moon s musics , stardew valley does an amazing job at delivering the season s atmosphere and feeling .",1
B∞mer,253230,Recommended,"the sudden lack of music , the twisting of notes , or haunting ambient sounds , continuously plays tricks on your mind .",1
LetrollOnPC,219740,Recommended,i decided to get it myself and had so much fun doing everything from base building to fighting raiders to the incredible soundtrack .,1
♥ Onee~Chan ♥,253230,Recommended,"atmosphere : well drawn classrooms and good ambients to make you feel much more emotions during scenes like spending time with your childhood friend , a much more lighter colour of the atmosphere is used instead of the darker tone colours , making you feel a warm fuzzy feeling inside : 3 .",1
PierreOfTheFrench,253230,Recommended,audio is great ( voice acting / music / effects ),1
Nep Nep,253230,Recommended,"the soundtrack is absolutely fantastic , and remains memorable even after putting the game down .",1
NoChrisNoWin,253230,Recommended,the game has a great voice actor that gives the game a really special humorous side .,1
baker,219740,Recommended,also the soundtrack is phenominal .,1
ChØppa,219150,Recommended,"the game went on , i would play the game , reading out the characters voices out loud , having a voice for each one which to me made them each special in their own way .",1
Spooky Glare,698780,Recommended,highly recommend the wrath of the lamb and soundtrack .,1
Exuma,238460,Recommended,"not a single track feels out of place and every piece shapes the 80 s atmosphere very well ( give my props to m o o n , perturbator and sun araw , they really know how to make music ) .",1
DG Dobrev,219740,Recommended,"the soundtrack , while very relaxing and pleasant to listen to , needs to be expanded , as themes will often repeat to the point where you may simply opt to reduce the volume to 0 and play your own music .",-1
[REB]Blackwater17,698780,Recommended,everything from quests on down to the music has been well thought out and seriously tested .,1
PlasmaWasp,219150,Recommended,"i had no experience with visual novels whatsoever oh wait , there is no voice acting well well .",-1
Medthicc,253230,Recommended,"amazing sound track , alot of jokes with hidden meanings ( you know what i mean if you got the why achievement ) , and all of the charectors are extremely likeable .",1
Edzter,219150,Recommended,"and my favorite part , an amazing soundtrack .",1
Slim Shady,253230,Recommended,"the game setting is planted on the late 80 s , where a mysterious organization makes voice messages to different , very random people .",0
heybabyxxx,238460,Recommended,"it s a really cool idea also , it s creepier than any other horror game i ve ever played several times i had some major goosebumps also , the music is absolutely excellent .",1
The Mute Cynic,238460,Not Recommended,"i will give credit to the music , which does give off a slight firefly vibe .",1
ErickaUnlimited,253230,Recommended,"take that , wrap it up in some superb voice acting and you have yourself a game that sits with the platformers of old as one of the best in the genre .",1
NSee,238460,Recommended,"enjoy kickass music , wtf moments , anger , anger , and more anger .",1
vyshakh.pillai,294100,Recommended,the music keeps playing .,1
Gay vampire Dio,238460,Recommended,"the music is bubbly and cute , but it s the forgettable moege stuff you hear in every visual novel .",-1
Steve Harris | hellcase.com,4000,Recommended,( and it has good music ),1
headbanger1186,294100,Recommended,the sound effects also nail it with gross tones and excellent notes that bring more life into the game .,1
Shining_Falcon,238460,Not Recommended,"for the final ending , it has a voice actor ( jillian ashcraft ) sing a closing song for the credits which was actually very charming .",1
Cup of n00bles,219740,Recommended,"i haven t caught myself humming any of the tunes personally , but certain songs like the beautiful time rift music , or the wonderfully grant kirkhope main lobby are a joy to listen to .",1
HumbleMrRecker,238460,Recommended,the enemy ai can be a little weird sometimes but as a whole it was an enjoyable play with an engaging soundtrack .,1
Neppu Tennouboshi,253230,Recommended,"the music most of the music tracks share the same leitmotif , which is the main theme of the game .",0
Narida,238460,Recommended,and holy that music and those sound effects too .,1
Sir Smack A Thot,253230,Recommended,it is the best game with the best soundtrack,1
Mughen9,253230,Recommended,those time rift stages were nice and the relaxing music there it was nice hope we see hat in time 2 if it gonna come out : d i would definetely buy it p,1
Bit_Bowser,253230,Recommended,"instead i bought the game + ost the gameplay / controls make this game addicting and the music , art , and attention to detail make it quite unique and charming .",1
washington_f707,219740,Recommended,"wish it was a bit longer but other than that i enjoyed the trippy music that left me in a trance , gorey massacres , and the slightly twisted masks .",1
Mellow_Online1,698780,Recommended,"every kind of atmosphere , every kind of emphasis that the art team wanted to make and create , they did it to great success , which most of you can probably tell just by the game s screenshots .",1
Buheheporcodio,219740,Recommended,the soundtrack is fantastic and it perfectly matches the game s oddity .,1
violetfx,253230,Recommended,then the music becomes repetitive gameplay becomes redundant repitidundant .,-1
basically bunta,253230,Recommended,hotline miami is a retro styled top down bloody beat em up that has an excellent soundtrack .,1
Draconicrose,698780,Recommended,sound the sound effects in rimworld are nothing to write home about .,-1
Reloading,219740,Recommended,"the music and audio is top notch , and really helps to set the mood .",1
Jordison,4000,Recommended,"the music included is extraordinary as well the digital booklet included shows you all the effort they had put into this game , and after reading it i m very impressed is it worth the 10 asking price without a doubt .",1
Sourese,219150,Recommended,the music is repetitive but charming .,1
The Cockatrice,253230,Recommended,boss fight songs are probably the best thing about the audio design .,1
god,238460,Recommended,"after playing this i dont know what to think , music dosen t sound the same even food dosen t taste like anything anymore",0
sparky boi,413150,Recommended,"i love the music , the weapons , the enemies , and the npc shop system this is all around amazing",1
