AccountName,gameId,isPositive,review,Polarity
Porcupine,253230,Not Recommended,"The full released content / game base grew by a 14MB in the past year , over two major versions ( including all assets , art , music , etc . )",-1
Heil Honkler,219150,Recommended,"gets repetitive eventually , i doubt you'll get more than a couple of thousand hours out of it .",-1
boob,238460,Recommended,you know that monika couldn't have been the only enemy in the game .,-1
finoma,238460,Recommended,"the negatives : + there are a few wobbly mechanics , mostly involving where the tools that you use fall .",-1
Kat,4000,Recommended,99 got me a triple a game that i got about 24 hours of gameplay out of before i got bored of it .,-1
Taorgax,698780,Recommended,"many important mechanics are barely mentioned or not even touched upon ( setting work priorities manually is one such glaring omission ) losing colonists because of mistakes you're aware of or gambles gone wrong is fine , but having them die because you didn't understand a part of the ui is frustrating , and there may be a lot of that if you don't go looking for tips before diving in too deep .",-1
Maelstrom,4000,Recommended,that being said the combat mechanics are just awful .,-1
Riako,294100,Recommended,"the controls are a bit difficult and i often water the wrong plant ( twice ) , which results in them being hyperhydrated and growing slower .",-1
Mumra,698780,Not Recommended,"certainly there are mods available that fix many of my concerns with the current gameplay , but 23 is rather a lot for a title that then requires mods to turn it into something resembling a complete experience .",-1
avaster,219150,Not Recommended,"10 and in general the mechanics can just be buggy , such as prisoner food being left in front of a door and causing a prison break and leaving my colony to die and having to restart , colonists sleeping in the freezer when theres no bed , having me to micromanage even more for no reason , along with a bunch of other small things but very frustrating that i might of forgotten to mention because there are so many things that sometimes get on my nerves and this game litters a bunch of events to cover up a frustrating game , never the less , these all examples of frustrating game mechanics .",-1
OrangeOctopus,698780,Recommended,bad controls .,-1
guganda,253230,Recommended,"hard to get into a multiplayer game , even thou community hub shows thousands of ppl playing ( matchmaking mechanics , i suppose )",-1
Belmont,219740,Recommended,"it's not perfect aside from getting high scores and unlocking all the masks and weapons , there's not a ton of replay value beyond the i haven't played it in awhile or the i wanna see if i can beat it only using x excuses .",-1
charliechuckleberry,4000,Recommended,"alas , you cannot attack the enemy bases ( would be a huge improvement if possible ) .",-1
klippx,219740,Recommended,"it is easy to miss ledges or wires , and overall platforming can be frustrating due to not 100 controls camera is a bit wonky sometimes do i recommend it this game not to hard core gamers , no .",-1
milkshakelake,253230,Recommended,"i wish it were longer and more challenging , though the difficulty is on par with the classics i mentioned .",-1
Mumra,698780,Not Recommended,"the sometimes continual raids that the storyteller throws at you get really tedious to defend , you have to micromanage every unit , which is really jarring next to the normal gameplay which is the antithesis of micromanagement .",-1
Docile Blemmigan,113200,Recommended,"made a few mistakes because the controls can be a little frustrating sometimes ( mainly when farming , the cursor for watering / hoeing sometimes lands where i didn't want it ) .",-1
♥ Onee~Chan ♥,219150,Recommended,"but this is a vns , so i don't expect to have much gameplay anyways : p .",-1
adam,253230,Recommended,"sure , you are going to need to dedicate time to planning your assault on most levels , the enemies don't always follow the same rules : enemies sometimes do not react to gunshots , or can kill you when they are dead , and many other bugs which not only break immersion but are extremely frustrating .",-1
david.king,4000,Recommended,"the game has a few rpg elements , but be warned combat is not a priority .",-1
Cak3N0m,219740,Recommended,"some of the micromanagement is a bit over the top , weeds / stones / trees get out of control quickly if you're not contstantly on top of things .",-1
Exelus,253230,Not Recommended,yay realism but apparently no one considered the gameplay ramifications .,-1
frisbeemenace,253230,Recommended,controls can be a little tricky but its sort of part of the challenge .,-1
Crimson-Albedo,219740,Recommended,there are a few linear levels that slow the gameplay and kill the exploration of 3d platformers that is often enjoyed .,-1
Clauds,4000,Recommended,dungeon crawling and combat feels sloppy and stale in sv compared to rune factory 4 which had bosses and a great story behind it .,-1
Knal1991 - Saint,219150,Recommended,"the most negative thing i can comment on is the fact that only directional keys seem to be changable , this is mostly a bother on a laptop where one often has not a mouse with wheel , and thus miss out on the lock on enemy button .",-1
deSignCN,219740,Recommended,rifle is hard to control .,-1
Fluff-Kevlar,238460,Recommended,"the combat is relatively simple , some information isn't clear on things like range , damage , cover , etc .",-1
Misheru-san,219740,Recommended,"you waste most of you energy fishing up trash and then by the time you do catch something you pretty much instantly lose it because the mechanics are so difficult , it's such a waste of energy and time .",-1
Futarias Gremory,219740,Recommended,"the only things i would have to complain about , are you get almost all weapons really early compared to how far you get into the game .",-1
huminado,238460,Recommended,it still has very minor issues in the day to day gameplay .,-1
avaster,253230,Not Recommended,"4 mechanics mechanics is an issue in this game , if beginner players are being welcomed with these unfinished mechanics then they wont interest in the game and simply get frustrated at the vanilla mechanics and leave if they wont know about mods .",-1
Fabio,219740,Recommended,pyromaniacs late game framerate drops affect flowing gameplay .,-1
b,253230,Recommended,"this didn't bother me most of the time , but there was one mechanic that really frustrated me .",-1
MVBlake,253230,Recommended,"the devs have provided a menu based tutorial helper for basic controls , as well as an opening tutorial , but it barely taps the surface of what can be done .",-1
Gordon Ramsay,253230,Recommended,the only thing that some might not like is that the camera itself can become a constant enemy .,-1
♥ Onee~Chan ♥,4000,Recommended,"but if you came for gameplay , there would not be much , so don't expect that much .",-1
Mumra,238460,Not Recommended,"i really do hope to eventually be able to change my review , what needs to change for that to happen is that the mechanics need to feel rounded out in the core game without relying on mods .",-1
Callcenter of the Void,4000,Recommended,0 gameplay .,-1
Fraggy,238460,Recommended,maybe the lines that the narrator get repetitive but still ignore that and its amazing,-1
MeNotCaring,219150,Not Recommended,a sign of low skill should not be boring gameplay when you stare at a screen a lot .,-1
Dan Schneider's Hard Drive,253230,Recommended,"the vast majority of platformers , i've found , have a tendency to treat the player like they've never played a platformer before by being excessively easy or having no sense of tight timing or awareness of gameplay mechanics in order to succeed .",-1
