AccountName,gameId,isPositive,review,Polarity
Draconicrose,219150,Recommended,"despite the simplicity of the graphics , the movement and interactions of the pawns with their environment invokes the same idle interest as watching an ant farm .",0
Mr.Roboto,4000,Recommended,granted if you cant get passed the graphics you will never enjoy this game .,0
Reloading,113200,Recommended,"the graphics are of course cartoony , and perfectly fit the game's motif .",1
Lunchmuny,294100,Recommended,games released in 1997 had better graphics .,-1
Anarchy,698780,Recommended,because it not only means less sophisticated computers can handle the graphics and run it smoothly .,1
Dadang Sudadang,219740,Recommended,"graphics are simple , but still looks beautiful .",1
Johnnytwobyfour,219740,Recommended,"i guess sometimes a negative graphics are 16bit , which i am a okay with but some people who love graphics over all , will find this a turn off overall : i recommend this game , not just for farming buffs , but for those wanting a more casual rpg experience that will leave you smiling when your done playing .",0
Nogaxeh,219740,Recommended,making beautiful art .,1
cerespallas,294100,Recommended,harvest moon + rune factory + terraria + animal crossing in 16 bit graphics,1
Kruzil,238460,Recommended,10000000 00p graphics my modern human eyeballs can't even see,0
Killigin,219740,Recommended,design each world bleeds personality with great visuals no two worlds are alike .,1
Ioplop,238460,Recommended,it was beautiful .,1
Tenda is Suddenly Garlic?,253230,Recommended,"faithful at most times to the exact mechanics of early harvest moon games , stardew valley improves with more varied graphics and a number of quality of life improvements .",1
SneakyFox,4000,Recommended,"the visuals used to represent the world , the characters and animals in it , and the elements of buildings are clear and distinct enough for you to tell at a glance what is going on .",1
Tyler,698780,Recommended,i personally feel like it's a great looking game and the visuals do grow on you .,1
NateinMpls,219150,Recommended,this game has great retro graphics and a lot of charm .,1
Yizz,294100,Recommended,"places like the community center or the museum extend the amount of time you can spend with the game the art style is beautiful the music is amazing the game will make you happy , calm , and relaxed it is only 15 ( when not on sale ) cons : some of the characters are not as well written as others there are some small bugs , many of which have probably been fixed by the time of your reading this overall , i love this game .",1
Madi,238460,Recommended,"stardew valley is a beautiful game , it really is everything you'll hope it to be .",1
AcceptTheMeat,219740,Recommended,much good very game wow graphics is gore,1
Predysto,698780,Recommended,"really well made after that , it was very creepy , i felt uneasy playing the game , the horror atmosphere was intense .",1
Merlin,413150,Recommended,way more to do than in many of the harvest moon games and the graphics are charmingly retro .,1
Kali Archon,219740,Recommended,"i personally think it's beautiful , and my boyfriend stared at me weird when i said so verbally when i first loaded it up .",1
Z~,698780,Recommended,"the graphics and ui are exceedingly simple , but consistentent in style .",1
genkipro,698780,Recommended,"graphics the graphics in rimworld are an odd mix that i wasn't sure about to begin with , but i've decided that i like them .",1
CujotheWolf,698780,Recommended,the graphics remind me of monkey island .,0
A Single Xanax,219740,Recommended,"if you are a fan of survival games with an amazing art style , the this game is for you not only do i love the art style of this game , but i also love the whole atmosphere of it .",1
Flaez,253230,Recommended,fantastic dont let the graphics fool you been waiting for a game like this for a long long time and so far its exceeded my expecttions ( good score ),1
CrazedG,219740,Recommended,it's pretty difficult too the atmosphere and the soundtracks are incredible with the vibe of the 80s .,1
51JBerger,219740,Recommended,the 6th generation looking graphics remind me a lot of the nintendo gamecube days .,0
doing the obvious,253230,Recommended,not sure if i would be able to stomach the rather brutal things going on if it weren't for the intentionally low res graphics .,0
Under Water Squad,219150,Recommended,"my sunset is the last glimpse of her smile as i drift into sleep dreaming of saving her from that electronic stronghold , that cruel yet beautiful digital twilight zone responsible for giving her to me and yet keeping her just out of my reach .",1
"WELCOME, THRILLHO",105600,Recommended,a cute homage to 90 s game graphics gone berserk .,1
Quazyrage,294100,Recommended,"i know what your thinking , look at the graphics , and 30 dollers wtf i said the same thing for a year looking at this game .",-1
Mr. Smiles,294100,Recommended,"the graphics are minimalistic , with characters / animals / mechanoids represented with simple , vector pawns that move on a 2d grid .",0
鬼のグレイ,219740,Recommended,the most beautiful game i've ever played in my life .,1
Iain1980,294100,Recommended,look past the old style graphics and it's a charming game .,1
Kali Archon,219740,Recommended,"also , people who complain about the graphics are annoying as well .",1
BerZerK,238460,Recommended,"hard as balls doesn't have a very satisfying story but it has great visuals , beautiful art design , challenging level design , fantastic soundtrack , and smooth gameplay .",0
The Noot Noot Man,238460,Recommended,it has one helluva style and atmosphere .,1
Del Mingus,113200,Recommended,the retro graphics are great and give the game a lot of its own unique character .,1
ThatOneGuyFromTheStore,219740,Recommended,"i feel like the graphics should be improved , but i love the core concept .",-1
shin,219150,Recommended,"get relaxed , obtain your favorite snack , some tea or coffee , put your feet up , and enjoy the playful atmosphere for a relaxing experience .",1
Kevelinu,253230,Recommended,great atmosphere .,1
SCraig64,253230,Recommended,"as simplistic as the facial animations are , the whole game is just beautiful to look at .",1
apljee,219740,Recommended,"99 price tag , because it's early access , and the graphics look like prison architect but believe me when i tell you you will get all of your money s worth with this game .",0
Calaverax,4000,Recommended,i have every confidence that it will continue to evolve in beautiful ways .,1
Definitely not a Lolicon,4000,Recommended,"if you like harvest moon or rune factory or are simply looking for a beautiful game ( created by only a single person who obviously put all his sweat and heart into it ) , this is surely the game for you .",1
DR.TusTus,219740,Recommended,"first off i have always been in love with pixle graphics games so that was the first thing that bought me , then i saw all the gore and mayham in which im a gorehound i developed an even deeper love for the game .",1
wh1sper!,253230,Recommended,even on a lower end gaming computer it runs at 30 60 fps .,1
Lush Life,698780,Recommended,don't be fooled by the graphics .,0
Hobo,238460,Recommended,the pixel graphics style is beyond played out in this day and age in pc gaming .,1
Tyler,219740,Recommended,the graphics are simple and might not look appealing at first but the game has a certain charm of it's own .,1
Draconicrose,219740,Recommended,graphics rimworld has simplistic 2d graphics which are nonetheless thematic and charming .,1
Dromei,238460,Recommended,"if you wanted to play dwarf fortress or something similar , but got turned away by the complex ui and graphics style , rimworld is your game .",1
Daedalus,219150,Recommended,the retro style graphics and vibrant color look great .,1
Mild Mannered Pate [N7],219150,Recommended,it's a game that's beautiful to binge .,1
Megurine Luka,698780,Recommended,"the game has a reference and easter eggs , which add a terrible atmosphere to the game .",-1
anaid,238460,Recommended,"the game looks great ( and if you re the kind of person that doesn't enjoy pixel graphics tough luck ) and trippy with some design choices , which is fine .",1
Duncan,698780,Recommended,if you are turned off by 2d graphics then this is probably not for you .,0
Pewt,294100,Recommended,single digit fps ) once you go above 30 or 40 colonists .,-1
Sourese,113200,Recommended,the graphics are basic but endearing .,1
Conundrum,294100,Recommended,the graphics only get about a c + or b in the current state .,0
blonde,4000,Recommended,some of my friends won't get into it because they re turned off by the graphics but god i wish they d just pick it up .,-1
Epic Nomz,253230,Recommended,"i was hesitant at first , based on the graphics .",-1
Gullfounder,294100,Recommended,the game is basically like prison architect in terms of graphics .,0
DataSage,294100,Recommended,"stardew valley does more than just bring a 20 + year old game concept that i love back into my hands on pc it takes that concept , explores the nostalgia of it all with beautiful retro graphics , adds all the neccessary things to make the game feel modern and streamlined , and expands on the little details which gives the game more charm than one can imagine .",1
Doodleboob,238460,Recommended,this game is a beautiful creative game that is probably the best 2d game i've ever played .,1
[TRU] mbm,698780,Recommended,"it is well balanced and i love the super nintendo style graphics , as a child of the early 80 s , it's a great throw back and proves better graphics don't make better games .",1
Igos,219740,Recommended,"the graphics are gorgeous and very well optmized , i can play it full graphics with my potato ( ok ok i lose some fps , but thats my problem ) .",1
fourze,294100,Recommended,"the graphics are simple and not too detailed , but even with such cartoony proportions , you might get some .",1
Romenics,219740,Recommended,pleasant graphics and smooth animations .,1
lemonylemmings,294100,Recommended,"so if you re a graphics addict like me , rest assured .",1
Mittsies,698780,Recommended,"i understand that it was designed to be simple , but there s a fine line between low quality graphics and zero effort visual garbage .",-1
rylan,294100,Recommended,"great graphics , so fun , takes awhile to get use to .",1
nope.,253230,Recommended,"dont get turned off by its top down prison architect style looking graphics yet , the design has its own charm and is made to be clear and unobstructive .",1
A Floating Cat Head,4000,Recommended,tl dr 16 bit style graphics surprisingly make for a good presentation .,1
slat_231,4000,Recommended,the graphics are amazing the 10 bucks out of your wallet is well worth it .,1
Vampyri,294100,Recommended,"the graphics are sharp and bright , and feel very polished for the style of game tboi is .",1
