gameId,AccountName,Date,Hours_Played,isPositive,review,is_audio,audio_polarity,is_graphics,graphics_polarity,is_gameplay,gameplay_polarity
238460,MeNotCaring,Jan-28,42.6 hrs on record,Not Recommended,If you do and that doesn't sound like much of a problem to you then this might be just the game for you .,-2,-2,-2,-2,-2,-2
698780,"Brian ""Brian Kibler"" Kibler","July 1, 2012",491.6 hrs on record,Recommended,It is beautiful .,-2,-2,-2,-2,-2,-2
219150,~♫~ Gum Gum ~♫~,"July 14, 2017","1,094.7 hrs on record",Recommended,"Sure it may push your buttons with some of it's enemy types , such as the infestation insects or sapper using raiders , but it's all part of what makes the game that much better with its stories .",-2,-2,-2,-2,1,1
219740,-=Zombine3D=-,"October 7, 2017",15.8 hrs on record,Recommended,Cons : A bit too short Sometimes the camera is wonky,-2,-2,-2,-2,1,-1
4000,adam55101,"July 11, 2016",211.5 hrs on record,Recommended,Pros : Awesome community Super fun Can do anything you desire Explosions Cars Guns ,-2,-2,-2,-2,1,1
219150,avaster,"December 22, 2018",577.9 hrs on record,Not Recommended,"7 The colonists just had a raid , they instead walk off leaving all of their dead buddies to go eat , why are they so stupid and incompetent to save their buddy themselves Instead I have to do it myself because the mechanics are not great .",-2,-2,-2,-2,1,-1
219740,BENJAMINFRANKLIN,"March 6, 2015","1,045.8 hrs on record",Recommended,"The boss battles are fun and balanced ( for the most part ) and while the gameplay can be grindy at times , it is still very satisfying to finally get what you want .",-2,-2,-2,-2,1,1
219740,Captain Oblivious,"September 14, 2018",5.8 hrs on record,Recommended,"While i've had a few technical gripes , the game makes up for them by having memorable characters , clever writing , engaging gameplay and worlds to explore , and HATS Also , the devs JUST released DLC for the base game and it's FREE ( for 24 hours ) who does that That's fantastic Even at full price this game is worth it do yourself a favor and enjoy one of the best platformers ever made",-2,-2,-2,-2,1,1
113200,Docile Blemmigan,"March 4, 2016",56.5 hrs on record,Recommended,"On the face of it , dialogue can be as lackluster and repetitive as a Harvest Moon game .",-2,-2,-2,-2,1,-1
219150,jbtheskater,"June 5, 2014",9.3 hrs on record,Recommended,I was completely taken in by this game even before I fired my first bullet or splattered my first enemy .,-2,-2,-2,-2,1,1
253230,SquibTheDS (Been waiting a year),"March 2, 2018",46.2 hrs on record,Recommended,"The bads It crashes too often It has frame drops This : The bosses will sometimes appear in the floors so you can't hit them The game will sometimes not climb walls No alternate ending for collecting everything But the good outweighs the bad , after 2 hours in to the game I couldn't stop playing it .",-2,-2,-2,-2,1,-1
219150,T.J,"December 21, 2014",21.1 hrs on record,Recommended, cons : no key mapping ( would have like to change keys ) might have to take up drugs .,-2,-2,-2,-2,1,-1
219150,Temko,"July 15, 2016",19.9 hrs on record,Recommended,"currently a very solid gameplay experience , but gaps in both story and world are readily apparent , and are logical instead of abrupt .",-2,-2,-2,-2,1,1
219740,TV,Jun-25,70.4 hrs on record,Recommended,"Cons : Game is very short Final boss fight is quite half baked Overpriced Some levels are entirely too quick to complete Online multiplayer is only unlocked by purchase of Nyakuza Metro DLC Co op is only unlocked by purchase of Seal the Deal DLC Lacks any replayability Some mechanics that are introduced at the start really aren't seen much outside of the first level Some cut content Game mechanics can be infuriating DLC is short Some points in the game feel copy pasted from other games Story is quite bland Suitability for younger audiences : Horrific segments , even for some aged players Minor suicide jokes ( In my opinion , they are not distasteful at all and are completely acceptable in the given situation ) Mild and cartoon like mischief / violence Controversy : Within a single level is a character that has almost no dialogue .",-2,-2,-2,-2,1,-1
253230,walleR (CEO of Racism),Feb-14,15.5 hrs on record,Recommended, Cons : Needs a decent PC Edit : SO i finished the game ( 7 hours gameplay ) and tbh the ending was kinda but still solid gameplay so ill gv it a ( good score ),-2,-2,-2,-2,1,0
4000,Yizz,"June 25, 2016",269.4 hrs on record,Recommended,"Cons : Some of the characters are not as well written as others There are some small bugs , many of which have probably been fixed by the time of your reading this Overall , I love this game .",-2,-2,-2,-2,1,-1
253230,American Tragedy,"August 14, 2018",13.0 hrs on record,Recommended,You just notice how beautiful and quality this game is with a pretty much classic platformer mechanics and simply enjoy it .,-2,-2,-2,-2,1,1
219150,Anarchy,"May 15, 2016",111.6 hrs on record,Recommended,The retro graphics really bring back memories of playing original games like Zelda and old school Harvest Moon on the Super Nintendo or Game Boy .,-2,-2,1,1,-2,-2
219740,BigBadBobUttley,"October 11, 2017",600.6 hrs on record,Recommended,"Simple graphics , simple concept .",-2,-2,1,0,-2,-2
219150,DO NOT CLICK MY NAME,"November 19, 2017",10.9 hrs on record,Recommended,This will be one of those games that can easily be overlooked for its game genre or graphics .,-2,-2,1,-1,-2,-2
113200,Edock,"August 25, 2016",72.8 hrs on record,Recommended,What a beautiful game .,-2,-2,1,1,-2,-2
219150,EndoNerd,"August 3, 2016",176.5 hrs on record,Recommended,Stardew Valley takes everything that was awesome and makes it AMAZING The graphics are perfect and compliment the story I absolutely have no issues with this game .,-2,-2,1,1,-2,-2
219150,Groøkere,"June 20, 2015",22.6 hrs on record,Recommended,incredible music with pixel art graphics sick as hell .,-2,-2,1,1,-2,-2
4000,Megurine Luka,"May 30, 2018",5.4 hrs on record,Recommended,"The game began in pink , literary circle and beautiful characters .",-2,-2,1,1,-2,-2
219150,Mellow_Online1,"October 23, 2017",8.2 hrs on record,Recommended,"Every kind of atmosphere , every kind of emphasis that the art team wanted to make and create , they did it to great success , which most of you can probably tell just by the game's screenshots .",-2,-2,1,1,-2,-2
4000,Riako,"March 2, 2016",21.3 hrs on record,Recommended,"Oh , wow , what's that telescope These flowers look beautiful And what is that stone blocking there I wanna find out .",-2,-2,1,0,-2,-2
219150,Scooty Puff Sr.,Feb-13,696.0 hrs on record,Recommended,Other considerations : Highly simplistic graphics .,-2,-2,1,1,-2,-2
219150,Shroom,"April 25, 2014",6.4 hrs on record,Recommended,Cool game with cute and simple graphics .,-2,-2,1,1,-2,-2
4000,SneakyFox,"August 18, 2016",76.5 hrs on record,Recommended,"However , it is worth noting that if photo realistic graphics are what you're looking for then this probably isn't the game for you .",-2,-2,1,0,-2,-2
698780,AlStar,"September 16, 2018",118.3 hrs on record,Recommended,"Have you ever looked at Dwarf Fortress and said to yourself I'd like to play that , but the ASCII graphics and developer style UI put me off Well look no further RimWorld is basically DF , but with pretty graphics , a sci fi story , and no z levels to worry about .",-2,-2,1,1,-2,-2
253230,Belmont,"December 14, 2014",47.6 hrs on record,Recommended,The graphics are fine it's a retro game so it's difficult to really judge this .,-2,-2,1,1,-2,-2
219740,[MM] WMan22,"October 22, 2017",21.9 hrs on record,Recommended,"it's not flawless , there are a few technical issues in the game like framedrops on alpine sky and sometimes graphics settings won't save , this game is still well worth your money as a lot of those things can be patched out and plus even the length issue will be remedied with steam workshop content that i'm sure the community is going to go wild with , or just at least recreate stuff from other platformers .",-2,-2,1,-1,1,-1
219740,232ookkkjj232,"January 1, 2014",1.3 hrs on record,Recommended,"Amazing , I love the survival aspect of this game , the sidescroller , novel graphics just make it that much better .",-2,-2,1,1,1,1
219740,☯specticol☯,"July 31, 2016",23.6 hrs on record,Recommended,"The game is a fun survival game with a beautiful art style and a cool story line , lots of characters and things to do .",-2,-2,1,1,1,1
219740,╬Snivy IsTrolling╬,"November 2, 2014",13.9 hrs on record,Recommended,"On a serious note : + Beautiful Story + Smooth graphics that makes you want to picture it in a book ( I have a HP Intel core i3 , 2GB ram and it plays fine ) + Amazing replay value + Simple and smart controls + One of the best Co op games to date What's negative you ask You're still reading this damn review and havent BOUGHT THE GAME , BY IT NOW WHILE ITS ONE SALE",-2,-2,1,1,1,1
4000,adam55101,"July 11, 2016",211.5 hrs on record,Recommended, Cons Bad graphics Upon buying this game and dowloading some addons heres what ive done saved a town from a zombie apocalypse by nuking it driveby tank shooting Flying bathtub Fought in ww1 Amputated limbs for fun ( good score ) best game,-2,-2,1,-1,1,0
219150,amrlsyqrn,"August 4, 2014",48.7 hrs on record,Recommended,"Excellent art , great gameplay , fascinating story .",-2,-2,1,1,1,1
4000,Anfraxx_,"August 16, 2016",2.3 hrs on record,Recommended,"The visuals are great , the idea and gameplay is just what you need , the only thing I can say the game lacks is any form of a decent tutorial on how to actually play it .",-2,-2,1,1,1,1
219740,Ben-zo,"January 4, 2018",28.5 hrs on record,Recommended,"This game is beautiful , fun and cute as heck .",-2,-2,1,1,1,1
219740,CA$H CHRI$TIAN,"February 4, 2014",8.0 hrs on record,Recommended,"Very good game , nice graphics , and lots of replay value .",-2,-2,1,1,1,1
4000,CatchyGaming,"December 1, 2017",5.5 hrs on record,Recommended,"This game was perfectly crafted with such amazing storyline , clever hinted objectives that literally requires the user to think outside of the box , very good visuals , whilst all maintaining the foreshadowing element from every single text box and Writing Tip of the Day .",-2,-2,1,1,1,1
219740,Crab Dumpster,"May 6, 2016",430.1 hrs on record,Recommended,"Throwback graphics that are cute but not kitschy , lots of skill try and mini game options , surprising amount of content , and fun mysteries that spin themselves out over time .",-2,-2,1,1,1,1
219740,Crustite,"November 4, 2017",18.3 hrs on record,Recommended,"The game also brought back some cons from old platformers like strangely placed and fixed cameras which can mess with your view and thus it makes navigating the level harder , controls sometimes can be a wee bit wonky , some rough edges when it comes to graphics and animations and a story is a bit shallow in some places .",-2,-2,1,-1,1,-1
