AccountName,gameId,Date,Hours_Played,isPositive,noOfHelpful,noOfFunny,review,isValid,Polarity,isSingle
Jak,294100,"March 7, 2016",105.0 hrs on record,Recommended,1,0,"Good music , when there is music .",1,1,1
Irrapture,219740,"June 27, 2017",54.6 hrs on record,Recommended,498,28,"However , Lumine is staggeringly ugly and has an annoying voice .",1,-1,0
REXPOWERCOLT,238460,"December 31, 2013",6.6 hrs on record,Recommended,1,0,"The soundtrack is amazing , arguably the best soundtrack of any game I ve played .",1,1,1
DeathCap,253230,"June 23, 2014",8.2 hrs on record,Recommended,1,0,You will get engrossed in the 80s Miami atmosphere with the game s stellar soundtrack and spectacular art direction .,1,1,1
Ƥyrefeather,219740,"October 18, 2018",28.6 hrs on record,Recommended,7,0,"One of the first things you can do is go up to a TV with a game playing on it , and when you get near it the background music changes to have a dog barking the theme song in a neat little remix .",1,0,1
Nectarine2000,4000,"July 25, 2014",79.2 hrs on record,Recommended,1,0,"from the creepy atmosphere to the funny bosses , random dugeons , whats not to love i recomend this game to anyone and everyone .",1,1,0
FREEDO,253230,"March 20, 2015",5.6 hrs on record,Recommended,1,0,"The game is straight outta the classic console generations , utilizing the technology limitations to hone its scope to core mechanics and maximizing immersion through colorful aesthetic and sound .",1,1,0
sharktemplar,219740,"December 3, 2018",61.8 hrs on record,Recommended,10,2,"Instead , I found myself humming along to the hub music whenever I returned from a level .",1,1,1
Ravenna Runeborn,253230,"December 14, 2015",15.6 hrs on record,Recommended,1,0,"You just cant really hate it , even if Stamper s voice tells you have much you suck This hat typical game that knows , that its a game , so it won t take itself seriously I can absolutely recommend this game to everyone , the single and the co op are tons of fun .",1,0,1
Nickvr628,253230,"July 15, 2016",201.4 hrs on record,Recommended,114,111,"That sounds made up , but crazy stuff like that actually happens .",0,-2,-2
Neppu Tennouboshi,4000,Jun-29,14.6 hrs on record,Recommended,60,3,"My Obsession turns from something sad , into something very creepy in Act 2 as breathing , laughing vinyl sounds are added , as well as the track being slightly distorted reversed sometimes .",1,0,1
Rob,238460,"April 2, 2014",5.3 hrs on record,Recommended,1,0,"While the game has no voice acting , it s a very small and feable problem compared to the excellent story line .",1,-1,0
Straylow,698780,"May 3, 2012",44.0 hrs on record,Recommended,1,0,"The music is great , the gameplay is simple yet addictive , and I m always trying to find new treasures and beat that next boss .",1,1,0
Megurine Luka,219150,"May 30, 2018",5.4 hrs on record,Recommended,100,5,"The game has a reference and Easter eggs , which add a terrible atmosphere to the game .",1,1,1
Choppytehbear,294100,"October 18, 2018",534.3 hrs on record,Recommended,61,5,Perfect background music .,1,1,1
J0P0D,238460,"June 23, 2014",48.4 hrs on record,Recommended,1,0,This is probably my favourite platformer of all time for these reasons : hilarious narrator great platforming awesome weapons sweet art style cool music funny story good singleplayer fun with friends great multiplayer arena modes awesome level editor hundreds of hats Do I need to say anything else,1,1,0
DoW.Phr0stY,4000,"April 2, 2018",5.7 hrs on record,Recommended,39,2,"Soundtrack is great and progression of the way the music plays throughout the game adds to the atmosphere of the game , definitely affecting how you feel within the game .",1,1,1
Addictive Behavior,294100,"August 20, 2017",423.0 hrs on record,Recommended,34,18,Several other thunder hit around the settlement providing a dramatic atmosphere for what s yet to come .,1,1,1
Dadang Sudadang,253230,"May 28, 2018",36.7 hrs on record,Recommended,9,1,The soundtrack is just awesome .,1,1,1
