AccountName,gameId,Date,Hours_Played,isPositive,noOfHelpful,noOfFunny,review,isValid,Polarity,isSingle
The Last Ewok,219150,"May 4, 2017",191.3 hrs on record,Recommended,76,37,"Unable to control his urge , Dunn makes a run for it .",0,-2,-2
Vand,113200,"March 30, 2016",87.0 hrs on record,Recommended,1,0,"Absolutely love this game , has a couple minor control issues here and there , but the mini games , daily actions , character developments , and progression system far outway the minor flaws .",1,1,1
CorenKeitaro,238460,"June 24, 2014",4.6 hrs on record,Recommended,1,0,"Figuring out the enemy's attack patterns was a pretty important part of the game for me , and I enjoyed doing so I always felt a flash of satisfaction whenever I skillfully beat a boss , or made it to the Chest , or took down one of the Sins .",1,1,1
Hackdeen,253230,"December 11, 2013",13.5 hrs on record,Recommended,1,0,"Slick controls , Merciless difficulty , Grungy soundtrack , and some of the most gore drenched pixels i've seen this side of Mortal Kombat .",1,1,0
The Gimp,219150,"November 18, 2016",191.4 hrs on record,Recommended,52,45,One day the battery room exploded leading to a terrible fire that spread out of control quickly .,0,-2,-2
Diana Cavendish,253230,"July 16, 2016",698.5 hrs on record,Recommended,1,0,"Animal Variety On alpha 13 , there was a bunch of animals , who increased by 6 on those patch Combat System Well , on 2D games , your Spawns get to use covers , walls , to block enemy fire .",1,0,1
A Floating Cat Head,253230,"March 10, 2016",65.0 hrs on record,Recommended,1,0,"I actually quite like it despite its early game difficulty because , well , it is more engaging than most games that boast fishing as a side profession .",1,1,1
𝓦𝓲𝓵𝓫𝓮𝓻𝓽 𝓜𝓲𝓭𝓷𝓲𝓰𝓱𝓽,219740,"February 27, 2016",115.4 hrs on record,Recommended,1,0,"This gameplay is essentially the Harvest Moon game we've always wanted , with more .",1,1,1
Duskylyon,219740,"February 9, 2018",70.5 hrs on record,Recommended,3,0,"But , the gameplay is just as good .",1,1,1
Redyn,219740,"November 2, 2017",13.8 hrs on record,Recommended,13,0,"It was an adventure exploring the mountain peaks where each area took advantage of the mechanics and abilities , from riding across the skies using the Hookshot to exploring a mystical temple using a ghostly ability from a hat found in Subcon Forest .",1,0,1
Mittsies,253230,"December 4, 2016",476.3 hrs on record,Recommended,64,9,"You can just move a character behind some cover and let them fire away , or control their every action and micromanage them like you would in a real time strategy .",1,0,1
OmegaConstruct,219740,"July 16, 2016",622.0 hrs on record,Recommended,3,0,This isn't a FPS where you start it on the heroic difficulty the first time you play it because you're good at shooters .,1,0,1
Haladmer,219740,"July 16, 2016",11.1 hrs on record,Recommended,3,0,"Cons : No direct unit control ( w / exception for combat ) Random Gen World doesn't always spawn with needed resources ( you are limited by in game trade rng ) Every character has it's own personality , wants , needs and desires , and will take care of them in the order they want , not the order that might make the most sense .",1,1,1
Blitz,219150,"July 15, 2016",103.2 hrs on record,Recommended,742,57,"You make the decisions to equip , shelter , feed , and protect your colony from the environmental dangers and enemy factions .",1,0,1
forestfey,253230,"September 13, 2016","1,824.4 hrs on record",Recommended,2,0,"The new tutorial makes the game much more accessible , but leaves out enough stuff for own discoveries of the nuanced mechanics .",1,1,0
Exelus,219150,"February 7, 2018",240.3 hrs on record,Not Recommended,43,3,"There are a lot of examples of mood modifiers being outside of player control , this is just the most obvious one i've found .",1,0,1
Itan_Stone,698780,"August 27, 2013",42.3 hrs on record,Recommended,1,0,A dark and strange game changing everytime i play and giving me an easy to learn control scheme love it .,1,1,1
NessMess,219150,"June 23, 2015",220.4 hrs on record,Recommended,1,0,Better than minecraft with tons of updates weapons ( doesn't even need mod's to be good ) Can be played in 2 .,1,1,1
Heil Honkler,219150,May-02,"1,604.1 hrs on record",Recommended,283,661,"Gets repetitive eventually , I doubt you'll get more than a couple of thousand hours out of it .",1,-1,1
Maelstrom,219150,"December 5, 2015",35.1 hrs on record,Recommended,1,0,"jpg 1 year later I haven't bothered to delete it why not just play it for a bit lol 30 hours later Get all the cool gear , but not even halfway through all the possibilities Die because of the awful enemy spawning gg m8 Never play again But seriously , I love this game .",1,0,0
Fore,413150,"March 4, 2016",159.1 hrs on record,Recommended,1,0,"In essence , a fun farm game with a rather lackluster combat and story , but enough content to keep you playing passively for long amounts of time .",1,1,1
Hopesedge,219150,"September 18, 2018",694.9 hrs on record,Recommended,517,6,"To jump to my conclusion : This game is fantastic if you like build a colony from the ground up , it's very interactive and you'll always have something to do , be it planning a new room for your base , building up defenses , creating a more reliable food source or even raiding enemy factions .",1,1,1
QSecOfr,219150,"February 21, 2015",13.1 hrs on record,Recommended,1,0,The additive gameplay will keep you trying just one more time to get an A + rating on a level .,1,1,1
The Large Mountain Jew,698780,"April 18, 2016",139.1 hrs on record,Recommended,1,0,"Inbetween creating the best farm known to man , you can also play as a lumberjack , go fishing in an infuriating at times fishing mechanic , and kill monsters in your friendly neighborhood RPG dungeon .",1,0,1
Oscar,219740,"January 2, 2018",7.1 hrs on record,Recommended,15,0,The gameplay is just like any other VN where one goes through dialogues with choices in between which decide the course of the game .,1,0,1
Mevvallanneous Bob,253230,"February 26, 2015",17.7 hrs on record,Recommended,1,0,"From its gritty story , stylish visuals , awesome music , and absurdly fun gameplay mechanics , it d be quite a loss to not experience the game for yourself .",1,1,0
Not Legato,219740,"October 7, 2017",21.8 hrs on record,Recommended,3,0,"While the game suffers from a lack of difficulty and rather obvious placement of collectibles , it's a ton of fun to play , the soundtrack is fantastic and I can recommend it easily based on those things .",1,0,0
boob,238460,"January 18, 2018",5.7 hrs on record,Recommended,6,1,You know that Monika couldn't have been the only enemy in the game .,1,-1,1
A Kira in Time,238460,"June 24, 2014",4.7 hrs on record,Recommended,1,0,"I thought it was going to be a game like any other game , then suddenly the gameplay was all like SURPRISE .",1,1,1
memes.exe,253230,"June 25, 2014",42.4 hrs on record,Recommended,1,0,"The rouge like qualities and endless potential of drops keep me coming back to this game , recommended for anyone with a good sense of humour or interest in rogue style and randomly generated gameplay",1,1,1
Delor,4000,"August 27, 2016",129.0 hrs on record,Recommended,4,0,"It even manages to serve up some reasonably compelling combat , frequently a weakness in these games , via the expediency of having combat be directly controlled by the player instead of relying on mushy indirect AI orders .",1,1,1
InsolentDreams,253230,"August 3, 2016",534.4 hrs on record,Recommended,16,7,"My two main gunmen were recovering from injury from some raging animals and could not fight , only to get raided from enemies .",1,0,1
BrainCR4MP,253230,"July 16, 2016",123.3 hrs on record,Recommended,1,1,And oh loord how it is deep in gameplay .,1,0,1
Mittsies,294100,"December 4, 2016",476.3 hrs on record,Recommended,64,9,"As gameplay updates comes out and modders get more creative , I imagine there will be more goals as well .",1,0,1
Super_Special Tree,4000,"September 13, 2016",595.7 hrs on record,Recommended,258,126,"In many heathen cultures among the stars , the blood and hearts of one's enemies is thought to give strength to he that consumes them .",0,-1,-2
Mittsies,253230,"December 4, 2016",476.3 hrs on record,Recommended,64,9,"You don't control your colonists directly ( except during combat ) , but rather provide jobs for them to do and you set up what jobs each colonist is allowed to do in the Work tab .",1,0,1
finoma,238460,"July 2, 2016",434.2 hrs on record,Recommended,1,0,"The Negatives : + There are a few wobbly mechanics , mostly involving where the tools that you use fall .",1,-1,1
Mevvallanneous Bob,238460,"February 26, 2015",17.7 hrs on record,Recommended,1,0,"Moreover , the music is just plain nice to listen to by itself if you're into it Controls : While the controls may take some getting used to ( I use a 360 gamepad for games when it's available ) , that's exactly the ticket .",1,-1,0
Minty,253230,"August 14, 2018",26.0 hrs on record,Recommended,73,1,tl dr A brilliant atmosphere and responsive gameplay serves as an incredible kickoff for Gears for Breakfast .,1,1,0
BENJAMINFRANKLIN,219740,"March 6, 2015","1,045.8 hrs on record",Recommended,0,0,"The boss battles are fun and balanced ( for the most part ) and while the gameplay can be grindy at times , it is still very satisfying to finally get what you want .",1,1,0
Orpheolus,105600,"March 23, 2015",386.7 hrs on record,Recommended,1,0,Hardmode itself on a good player is not that bad just the difficulty spike is not the best for most players and how brutal the endgame can be .,1,0,1
