AccountName,gameId,Date,Hours_Played,isPositive,noOfHelpful,noOfFunny,review,isValid,Polarity,isSingle
ferdal1,4000,September 21,164.1 hrs on record,Recommended,158,9,"Alright So , if you are looking for : A shooter , triple A game with beautiful graphics and a free to play battle royale mode , you are NOT gonna enjoy this game .",1,-1,0
Draconicrose,219150,"March 13, 2017",897.9 hrs on record,Recommended,12,0,"Despite the simplicity of the graphics , the movement and interactions of the pawns with their environment invokes the same idle interest as watching an ant farm .",1,0,1
genkipro,253230,"April 17, 2017",11.6 hrs on record,Recommended,33,2,There are no other graphics options .,1,0,0
Mr.Roboto,4000,"August 30, 2011",29.5 hrs on record,Recommended,1,1,Granted if you cant get passed the graphics you will NEVER enjoy this game .,1,0,1
TBD2,219150,"February 20, 2018",5.0 hrs on record,Recommended,6,20,"A beautiful short story , which is a part of psychological horror , will involve you for ten hours .",0,-2,-2
Err,238460,"October 1, 2014",18.2 hrs on record,Recommended,1,0,"Great gameplay , arguably replayable , interesting graphics and music , and a confusing but somewhat interesting story .",1,1,0
Mantis,238460,"October 24, 2017",8.4 hrs on record,Recommended,43,4,What is this game about Basically it's just a cute and interactive game where you join a literature club and write poems to impress beautiful girls .,0,-2,-2
Reloading,113200,"March 20, 2016",360.4 hrs on record,Recommended,1,0,"The graphics are of course cartoony , and perfectly fit the game's motif .",1,1,1
ClassyTurtle,219740,"September 7, 2017",403.4 hrs on record,Recommended,13,3,"Then one beautiful crisp morning , a powerline overloads and begins a fire in my mostly wooden structure .",0,-2,-2
KT_Extinction,219740,"July 16, 2016",81.0 hrs on record,Recommended,51,3,"Rimworld s graphics are the simplistic , charming Prison Architect style , with similar mechanics in zoning and construction mechanics .",1,1,0
Lunchmuny,294100,April 9,297.9 hrs on record,Recommended,451,86,Games released in 1997 had better graphics .,1,-1,1
Anarchy,698780,"May 15, 2016",111.6 hrs on record,Recommended,1,0,Because it not only means less sophisticated computers can handle the graphics and run it smoothly .,1,1,1
RubyHazel,219150,"July 2, 2017",610.8 hrs on record,Recommended,20,1,Any person or creature not under a roof will be slowly sickened by the toxic dust settling out of the atmosphere .,0,-2,-2
Silverstray,238460,"June 27, 2014",9.5 hrs on record,Recommended,1,0,"This game is amazing , super fun puzzles , quirky graphics , SUPER FUN voiceover by STAMPER ( the man is a legend ) .",1,1,0
The Baron,219740,"May 24, 2017",230.9 hrs on record,Recommended,21,1,"On the surface it looks really plain the graphics , the animations , the gameplay .",1,0,0
Dadang Sudadang,219740,"May 28, 2018",36.7 hrs on record,Recommended,9,1,"Graphics are simple , but still looks beautiful .",1,1,1
Johnnytwobyfour,219740,"March 18, 2016",446.3 hrs on record,Recommended,1,0,"i guess sometimes a negative graphics are 16bit , which I am a okay with but some people who love graphics over all , will find this a turn off Overall : I recommend this game , not just for farming buffs , but for those wanting a more casual rpg experience that will leave you smiling when your done playing .",1,0,1
Valkhellas,4000,"August 6, 2013",403.3 hrs on record,Recommended,1,0,"it's a glorious , disturbing , bloody , frustrating mess of wonderful gameplay ( if not with a few bugs , in both sense of the word ) , twisted visuals , and a scryptic , vague story just enough to create mass speculation on metaphor and representation .",1,1,0
DR.TusTus,219740,"June 9, 2014",12.7 hrs on record,Recommended,1,0,"I highly reccomened this game , not just for gorehounds , action lovers , or people with pixle graphics fetishes , but its a gurantee anyone will love this game .",1,1,0
Brotherbeam,253230,"May 20, 2016",186.9 hrs on record,Recommended,0,0,"Do whatever the hell you want , becuase the modding community is beautiful , and once you get the hang of using most of the basic tools ( and some of the modded tools that no Gmod player can live without ) you really can do anything .",0,-2,-2
Nogaxeh,219740,"July 17, 2016",41.1 hrs on record,Recommended,484,117,Making beautiful art .,1,1,1
