word,freq,suggestion1,suggestion2,suggestion3
colorful,49,colourful,,
collectibles,48,collectible,,
sooo,44,so,,
isnt,42,isn't,,
awsome,42,awesome,,
oooo,34,ooo,,
shouldn,33,shouldn't,,
didnt,31,didn't,,
gud,30,good,,
hasn,29,hasn't,,
favorites,24,favorite,,
weren,24,weren't,,
realy,23,really,,
customizable,21,customisable,,
ahit,20,a hit,,
atleast,19,at least,,
hadn,19,hadn't,,
goty,18,gory,,
nyakuza,18,yakuza,,
reccommend,17,recommend,,
everone,17,everyone,,
youre,15,you're,,
timepieces,15,timepiece,,
beserk,15,berserk,,
wierd,13,weird,,
recomended,13,recommended,,
diffrent,12,different,,
untill,11,until,,
definitly,11,definitely,,
definatly,11,definitely,,
enemys,11,enemy,,
absolutly,11,absolutely,,
extremly,11,extremely,,
hattington,11,hartington,,
freinds,10,friends,,
plz,10,please,,
roleplaying,10,role-playing,,
leveling,10,levelling,,
difficulity,10,difficulty,,
leaderboards,10,leaderboard,,
requirments,10,requirements,,
fugly,10,ugly,,
begining,9,beginning,,
challange,9,challenge,,
fueled,9,fuelled,,
sweatpea,9,sweetpea,,
somthing,8,something,,
controlls,8,controls,,
ripoff,8,rip-off,,
amigos,8,amigo,,
wouldnt,8,wouldn't,,
definetely,8,definitely,,
gorey,8,gory,,
havest,8,harvest,,
everthing,7,everything,,
amzing,7,amazing,,
downsides,7,downside,,
adictive,7,addictive,,
freakin,7,freaking,,
evar,7,ever,,
becouse,7,because,,
cgs,7,cg,,
inbetween,6,in between,,
gaem,6,game,gael,
ontop,6,on top,,
arent,6,aren't,,
aswel,6,as well,,
completly,6,completely,,
repetetive,6,repetitive,,
someones,6,someone,,
youll,6,you'll,,
intresting,6,interesting,,
expirience,6,experience,,
hillarious,6,hilarious,,
mehh,6,meh,,
narator,6,narrator,,
potatos,5,potato,,
masterpeice,5,masterpiece,,
fortess,5,fortress,,
disapointed,5,disappointed,,
gam,5,game,,
sence,5,since,,
possibilites,5,possibilities,,
havnt,5,haven't,,
wonderfull,5,wonderful,,
everyones,5,everyone,,
definitley,5,definitely,,
immediatly,5,immediately,,
dieing,5,dying,,
gamplay,5,gameplay,,
dialouge,5,dialogue,,
intrested,5,interested,,
sountrack,5,soundtrack,,
phenominal,5,phenomenal,,
charecters,5,characters,,
comunity,5,community,,
boii,5,boi,,
aquired,5,acquired,,
recieved,5,received,,
similiar,5,similar,,
jogar,5,gogar,,
experiance,5,experience,,
glitchy,5,glitch,,
berzerk,5,berserk,,
blackhat,5,blackham,,
monik,5,monika,,
dificulty,4,difficulty,,
alll,4,all,,
recommened,4,recommended,,
avatar,4,avtar,,
adress,4,address,,
ofcourse,4,of course,,
wepons,4,weapons,,
totaly,4,totally,,
becuase,4,because,,
consistantly,4,consistently,,
randoms,4,random,,
challanging,4,challenging,,
playin,4,playing,,
nooo,4,no,,
achivements,4,achievements,,
oppinion,4,opinion,,
diferent,4,different,,
powerups,4,power-ups,,
belive,4,believe,,
overal,4,overall,,
pleasent,4,pleasant,,
ammount,4,amount,,
absolutley,4,absolutely,,
stil,4,still,,
excelent,4,excellent,,
lovley,4,lovely,,
diffucult,4,difficult,,
lackluster,4,lacklustre,,
favors,4,favours,,
commited,4,committed,,
pixle,4,pixel,,
assult,4,assault,,
maxed,4,maxey,waxed,axed
neverending,4,never-ending,,
stampers,4,stamper,,
racoon,4,raccoon,,
tooie,4,tobie,troie,
lemme,4,let me,,
steampowered,4,steam-powered,,
afterall,4,after all,,
expereince,4,experience,,
shes,4,she's,,
abit,4,a bit,,
customizing,4,customising,,
alpacas,4,alpaca,,
desperatly,4,desperately,,
unconcious,4,unconscious,,
occassionally,4,occasionally,,
bionics,4,bionic,,
iguanna,4,iguana,,
onika,4,monika,,
definatley,3,definitely,,
noice,3,nice,,
flavors,3,flavor,,
allways,3,always,,
